CustomerID,Recency,Frequency,Monetary
C0095,17,8,836.89
C0096,49,12,667.15
C0097,28,18,528.64
C0098,45,5,92.5
C0099,51,20,261.24
C0100,26,9,235.86
C0101,56,5,17.2
C0102,36,2,918.94
C0103,52,2,444.63
C0104,35,7,310.96
C0105,57,19,941.43
C0106,49,11,102.44
C0107,48,10,449.12
C0108,13,7,976.93
C0109,10,13,75.03
C0110,14,11,184.15
C0111,19,20,711.18
C0112,25,5,98.08
C0113,42,10,120.97
C0114,4,6,891.44
C0115,33,18,790.13
C0116,47,10,528.39
C0117,32,4,616.89
C0118,55,13,472.53
C0119,53,4,780.47
C0120,40,12,147.1
C0121,51,18,47.75
C0122,46,15,18.52
C0123,42,6,931.94
C0124,22,1,270.95
C0125,46,1,521.6
C0126,15,7,524.53
C0127,38,18,359.62
C0128,5,11,916.12
C0129,18,5,969.96
C0130,29,3,474.14
C0131,6,1,138.2
C0132,25,17,502.09
C0133,44,12,33.59
C0134,51,16,837.24
C0135,2,11,62.07
C0136,56,14,119.62
C0137,31,8,35.45
C0138,49,14,174.46
C0139,56,17,798.26
C0140,52,11,92.87
C0141,25,10,659.14
C0142,16,12,316.04
C0143,46,2,209.83
C0144,58,9,178.18
C0145,18,12,756.6
C0146,46,9,181.2
C0147,58,2,274.16
C0148,25,19,303.81
C0149,16,10,649.85
C0150,53,10,58.31
C0151,35,15,33.1
C0152,11,8,460.78
C0153,50,5,128.69
C0154,6,12,966.27
C0155,7,6,236.24
C0156,9,14,563.07
C0157,10,2,407.71
C0158,1,17,710.09
C0159,16,15,11.2
C0160,6,20,620.56
C0161,47,11,951.64
C0162,21,1,272.11
C0163,40,12,448.34
C0164,20,16,39.4
C0165,18,13,895.36
C0166,57,20,773.5
C0167,56,8,511.74
C0168,53,14,776.99
C0169,51,13,232.26
C0170,56,6,247.21
C0171,11,13,571.1
C0172,32,13,589.75
C0173,52,11,803.35
C0174,58,10,318.85
C0175,4,17,127.11
C0176,30,10,418.26
C0177,58,13,536.89
C0178,17,8,648.06
C0179,4,4,425.33
C0180,31,2,836.17
C0181,45,4,601.65
C0182,49,18,623.06
C0183,52,3,752.04
C0184,15,2,664.79
C0185,29,5,767.71
C0186,40,2,308.27
C0187,5,11,447.78
C0188,27,16,489.4
C0189,47,14,162.05
C0190,48,2,385.79
C0191,8,15,826.54
C0192,22,3,419.0
C0193,6,16,297.2
C0194,47,1,531.35
C0195,57,9,348.43
C0196,33,14,448.64
C0197,54,13,934.72
C0198,16,1,182.39
C0199,38,5,503.28
C0200,60,19,732.08
C0201,46,17,682.0
C0202,21,2,156.58
C0203,28,4,670.87
C0204,34,19,41.29
C0205,35,20,638.02
C0206,35,15,102.12
C0207,31,13,204.59
C0208,58,6,522.24
C0209,50,15,350.18
C0210,20,15,166.02
C0211,37,2,462.77
C0212,11,9,730.05
C0213,16,12,969.14
C0214,49,6,553.96
C0215,18,7,259.71
C0216,37,7,688.79
C0217,49,18,143.13
C0218,51,13,504.99
C0219,4,20,899.66
C0220,36,2,100.02
C0221,56,5,233.06
C0222,14,18,760.84
C0223,11,10,562.64
C0224,25,20,560.0
C0225,58,19,542.24
C0226,6,19,403.37
C0227,50,3,713.42
C0228,5,3,979.75
C0229,31,7,545.59
C0230,59,2,704.41
C0231,2,9,597.43
C0232,33,2,717.46
C0233,12,13,221.07
C0234,48,8,542.97
C0235,56,13,448.21
C0236,26,9,617.04
C0237,37,13,267.49
C0238,15,13,112.34
C0239,49,17,901.24
C0240,55,6,863.93
C0241,42,12,541.69
C0242,16,16,566.18
C0243,40,14,635.02
C0244,50,16,246.35
C0245,8,4,456.73
C0246,53,9,436.24
C0247,37,5,760.18
C0248,16,8,732.41
C0249,32,12,986.6
C0250,22,4,502.89
C0251,31,17,839.98
C0252,49,9,953.48
C0253,36,14,184.05
C0254,7,18,519.0
C0255,56,10,292.89
C0256,9,3,657.01
C0257,2,3,713.3
C0258,18,4,696.28
C0259,22,13,200.11
C0260,40,7,415.09
C0261,8,1,52.0
C0262,32,10,241.93
C0263,17,9,977.35
C0264,15,1,937.31
C0265,13,8,901.29
C0266,44,3,424.8
C0267,60,9,998.73
C0268,19,12,732.02
C0269,36,7,299.49
C0270,59,14,463.0
C0271,40,16,545.59
C0272,50,5,580.98
C0273,5,13,621.06
C0274,53,2,291.25
C0275,25,5,164.21
C0276,52,15,453.67
C0277,26,1,429.81
C0278,27,4,214.1
C0279,20,7,656.12
C0280,23,2,781.9
C0281,28,6,270.25
C0282,19,4,471.4
C0283,43,8,672.64
C0284,49,12,680.65
C0285,49,9,161.07
C0286,12,10,352.81
C0287,60,14,803.73
C0288,9,2,356.83
C0289,19,10,700.54
C0290,15,19,477.46
C0291,7,16,462.28
C0292,14,15,239.98
C0293,21,4,301.89
C0294,56,9,445.35
C0295,27,18,119.0
C0296,25,10,186.93
C0297,55,2,151.79
C0298,54,3,597.02
C0299,24,11,83.89
C0300,36,4,754.17
C0301,7,11,397.4
C0302,3,9,864.55
C0303,20,14,477.86
C0304,47,7,756.63
C0305,53,15,348.06
C0306,55,6,272.76
C0307,25,14,994.57
C0308,29,20,123.74
C0309,37,17,736.83
C0310,51,20,34.57
C0311,45,14,446.88
C0312,38,15,532.12
C0313,1,11,917.56
C0314,21,14,88.79
C0315,44,14,204.54
C0316,3,1,61.63
C0317,54,20,687.8
C0318,13,7,968.21
C0319,37,13,596.55
C0320,60,13,59.93
C0321,44,14,44.99
C0322,23,15,805.66
C0323,19,13,172.21
C0324,55,5,915.16
C0325,40,11,178.08
C0326,18,19,38.57
C0327,16,15,624.78
C0328,47,17,787.85
C0329,16,17,470.97
C0330,41,20,313.29
C0331,48,17,498.29
C0332,16,9,99.72
C0333,42,3,145.46
C0334,15,20,746.94
C0335,49,19,770.88
C0336,17,11,598.94
C0337,20,14,971.6
C0338,57,8,193.06
C0339,45,8,516.2
C0340,2,1,777.7
C0341,8,9,609.59
C0342,2,9,838.19
C0343,59,11,919.72
C0344,28,18,417.65
C0345,26,15,791.23
C0346,18,3,228.65
C0347,59,17,338.33
C0348,25,7,164.1
C0349,35,11,271.95
C0350,39,2,937.29
C0351,45,9,308.37
C0352,14,2,755.82
C0353,6,19,905.02
C0354,36,13,788.84
C0355,9,12,94.71
C0356,4,8,840.59
C0357,28,5,124.26
C0358,17,11,228.04
C0359,56,6,736.29
C0360,49,18,478.31
C0361,47,11,790.65
C0362,26,18,541.96
C0363,45,9,700.79
C0364,50,11,93.18
C0365,34,2,44.0
C0366,46,15,839.14
C0367,52,13,183.15
C0368,17,1,51.1
C0369,19,17,84.07
C0370,7,18,42.04
C0371,49,11,28.56
C0372,55,11,428.71
C0373,1,12,36.54
C0374,60,5,951.25
C0375,13,1,182.37
C0376,6,19,804.51
C0377,56,2,350.39
C0378,27,6,708.69
C0379,41,7,681.56
C0380,15,14,90.98
C0381,52,4,677.03
C0382,28,20,468.14
C0383,54,18,24.97
C0384,36,7,546.35
C0385,48,8,87.74
C0386,46,13,155.79
C0387,13,16,458.32
C0388,13,19,591.37
C0389,31,7,877.28
C0390,55,4,370.76
C0391,31,19,337.44
C0392,28,3,699.27
C0393,7,3,971.2
C0394,25,16,858.58
C0395,55,1,652.66
C0396,43,16,731.17
C0397,14,9,532.87
C0398,1,13,165.64
C0399,56,14,490.84
C0400,25,8,488.47
C0401,49,15,847.55
C0402,23,5,28.44
C0403,29,16,862.43
C0404,25,2,239.05
C0405,55,4,978.33
C0406,25,2,719.81
C0407,27,14,943.79
C0408,54,5,880.78
C0409,10,6,188.97
C0410,1,10,885.05
C0411,26,12,850.04
C0412,29,4,491.23
C0413,8,19,155.33
C0414,6,19,601.78
C0415,50,4,218.93
C0416,22,12,313.92
C0417,59,19,18.61
C0418,2,14,182.58
C0419,10,1,258.73
C0420,42,16,956.46
C0421,42,1,518.98
C0422,48,2,129.22
C0423,16,1,347.34
C0424,36,15,195.55
C0425,4,16,527.08
C0426,2,3,814.52
C0427,9,19,75.64
C0428,60,18,329.85
C0429,6,9,765.09
C0430,54,6,857.4
C0431,33,1,359.64
C0432,1,4,501.36
C0433,16,5,740.42
C0434,15,8,847.26
C0435,30,15,412.67
C0436,27,9,45.92
C0437,10,11,467.96
C0438,46,15,107.08
C0439,58,18,987.2
C0440,3,19,313.35
C0441,28,18,723.04
C0442,14,9,485.13
C0443,44,10,967.69
C0444,15,10,301.33
C0445,54,15,288.95
C0446,32,18,341.71
C0447,53,13,282.75
C0448,58,8,193.06
C0449,10,13,886.34
C0450,35,4,530.23
C0451,31,17,741.16
C0452,36,7,495.08
C0453,24,9,15.05
C0454,33,9,57.0
C0455,8,17,108.04
C0456,22,12,519.89
C0457,47,6,239.1
C0458,8,19,81.1
C0459,45,12,600.97
C0460,31,14,808.68
C0461,26,17,793.83
C0462,51,20,433.11
C0463,9,7,840.6
C0464,43,12,789.86
C0465,5,1,662.57
C0466,9,16,88.68
C0467,45,15,646.01
C0468,32,3,151.03
C0469,3,7,760.17
C0470,48,10,870.29
C0471,59,13,239.4
C0472,44,1,301.88
C0473,37,9,259.32
C0474,34,13,106.55
C0475,39,1,126.42
C0476,47,3,993.09
C0477,51,8,966.2
C0478,4,16,787.91
C0479,15,2,797.75
C0480,29,1,820.66
C0481,2,11,669.77
C0482,9,10,677.31
C0483,3,6,223.77
C0484,42,5,634.97
C0485,6,9,90.18
C0486,26,15,968.92
C0487,31,13,966.52
C0488,60,3,282.55
C0489,10,7,476.27
C0490,60,4,337.7
C0491,30,3,652.0
C0492,24,18,330.56
C0493,60,3,391.89
C0494,49,12,871.65
C0495,21,8,426.97
C0496,59,11,836.76
C0497,42,8,815.77
C0498,9,9,837.01
C0499,44,20,483.59
C0500,55,9,780.24
C0501,59,5,609.53
C0502,21,1,86.48
C0503,39,12,691.35
C0504,35,16,84.64
C0505,44,4,950.46
C0506,9,3,289.17
C0507,13,18,800.38
C0508,28,16,100.51
C0509,35,19,16.34
C0510,35,11,931.99
C0511,51,4,257.3
C0512,40,2,97.01
C0513,48,11,160.73
C0514,16,3,96.77
C0515,53,3,666.19
C0516,56,6,419.83
C0517,9,20,596.38
C0518,38,7,533.93
C0519,3,2,317.96
C0520,22,1,553.83
C0521,44,4,704.82
C0522,34,20,117.39
C0523,55,19,624.58
C0524,54,10,334.12
C0525,23,19,522.29
C0526,49,8,11.52
C0527,18,2,510.82
C0528,54,19,213.2
C0529,52,2,635.53
C0530,14,9,156.95
C0531,54,10,261.69
C0532,41,3,327.89
C0533,3,13,988.29
C0534,44,7,330.18
C0535,60,15,172.88
C0536,30,15,179.47
C0537,18,2,505.77
C0538,42,15,594.35
C0539,45,2,239.32
C0540,20,5,662.8
C0541,32,12,942.64
C0542,31,19,90.17
C0543,35,18,456.07
C0544,48,6,780.07
C0545,12,19,743.72
C0546,34,19,494.98
C0547,58,17,653.07
C0548,19,11,902.38
C0549,23,6,559.99
C0550,37,7,859.22
C0551,11,1,159.66
C0552,56,17,318.91
C0553,30,15,22.7
C0554,36,6,411.11
C0555,58,10,598.43
C0556,48,2,946.07
C0557,1,18,241.96
C0558,42,9,377.24
C0559,7,9,325.35
C0560,11,1,10.79
C0561,25,9,511.02
C0562,53,10,762.07
C0563,2,14,199.08
C0564,39,3,856.24
C0565,56,18,26.56
C0566,13,18,564.23
C0567,30,20,934.12
C0568,47,8,905.29
C0569,31,7,123.55
C0570,45,19,534.75
C0571,49,19,889.01
C0572,43,5,60.09
C0573,56,2,41.62
C0574,31,5,413.69
C0575,32,9,141.95
C0576,31,8,274.12
C0577,49,6,806.24
C0578,54,10,899.29
C0579,9,8,974.13
C0580,10,9,576.89
C0581,47,20,309.38
C0582,54,16,484.14
C0583,25,12,335.44
C0584,36,7,67.58
C0585,16,14,703.92
C0586,57,13,463.23
C0587,16,12,971.79
C0588,60,12,410.22
C0589,18,10,443.59
C0590,50,20,820.13
C0591,7,5,808.12
C0592,15,18,817.08
C0593,32,11,682.31
C0594,27,19,246.91
C0595,17,14,350.35
C0596,28,17,186.14
C0597,53,16,508.73
C0598,43,5,158.88
C0599,58,2,684.84
C0600,14,6,823.8
C0601,14,2,77.16
C0602,22,17,22.63
C0603,33,5,39.03
C0604,12,10,475.36
C0605,38,2,819.67
C0606,20,7,394.19
C0607,42,17,181.28
C0608,17,12,171.13
C0609,43,13,157.44
C0610,49,4,722.7
C0611,5,2,52.53
C0612,39,16,259.3
C0613,39,6,115.36
C0614,2,2,106.72
C0615,8,7,506.75
C0616,6,18,843.88
C0617,36,15,730.29
C0618,13,7,871.93
C0619,54,11,422.33
C0620,43,16,820.85
C0621,29,1,406.08
C0622,55,7,91.64
C0623,24,3,13.42
C0624,53,17,572.85
C0625,33,5,849.05
C0626,41,3,148.8
C0627,41,8,747.89
C0628,33,4,226.3
C0629,35,13,174.46
C0630,49,1,163.63
C0631,15,12,461.05
C0632,36,11,289.02
C0633,48,17,922.84
C0634,18,16,615.37
C0635,43,19,541.3
C0636,45,2,67.97
C0637,10,1,349.21
C0638,49,16,393.41
C0639,53,13,304.56
C0640,31,20,696.77
C0641,33,19,605.7
C0642,8,15,116.28
C0643,13,8,824.49
C0644,3,1,650.31
C0645,38,6,77.81
C0646,28,8,391.48
C0647,17,2,820.05
C0648,11,19,739.15
C0649,51,20,625.71
C0650,17,4,779.36
C0651,34,8,121.98
C0652,47,14,670.05
C0653,29,13,865.77
C0654,3,5,827.34
C0655,10,4,667.97
C0656,56,15,682.98
C0657,1,10,857.97
C0658,59,14,13.61
C0659,59,4,677.96
C0660,21,15,734.53
C0661,15,3,209.08
C0662,24,8,532.97
C0663,13,17,985.75
C0664,31,18,213.3
C0665,12,18,471.36
C0666,40,11,55.9
C0667,22,7,436.22
C0668,18,18,300.68
C0669,43,15,762.25
C0670,11,13,504.26
C0671,18,8,696.79
C0672,58,11,98.21
C0673,2,17,530.17
C0674,30,20,990.06
C0675,56,19,722.36
C0676,6,20,716.47
C0677,26,17,808.5
C0678,6,6,114.32
C0679,16,7,856.73
C0680,11,9,147.99
C0681,3,10,317.01
C0682,51,12,736.56
C0683,14,18,281.19
C0684,31,1,68.41
C0685,3,5,75.41
C0686,31,18,210.05
C0687,27,16,481.39
C0688,20,10,552.71
C0689,34,7,228.34
C0690,36,13,700.92
C0691,33,6,637.03
C0692,52,7,188.35
C0693,33,4,625.54
C0694,46,17,850.84
C0695,58,5,118.9
C0696,51,20,470.05
C0697,12,13,12.33
C0698,46,5,664.94
C0699,2,5,252.35
C0700,15,19,485.15
C0701,15,13,153.09
C0702,37,15,480.77
C0703,54,19,173.11
C0704,43,9,842.09
C0705,43,7,773.41
C0706,58,16,36.18
C0707,4,16,730.04
C0708,18,5,63.42
C0709,50,3,963.74
C0710,26,8,427.41
C0711,59,17,85.49
C0712,46,4,454.22
C0713,47,13,671.04
C0714,29,8,466.5
C0715,13,18,188.12
C0716,24,14,691.59
C0717,19,8,401.19
C0718,23,16,334.86
C0719,46,12,489.29
C0720,60,4,576.68
C0721,59,3,404.29
C0722,40,12,278.85
C0723,8,13,177.42
C0724,13,6,340.1
C0725,60,19,146.95
C0726,13,13,357.63
C0727,57,13,893.88
C0728,2,12,303.86
C0729,2,5,178.63
C0730,23,13,739.07
C0731,16,8,16.56
C0732,41,19,120.93
C0733,16,19,883.39
C0734,13,19,980.96
C0735,11,10,142.15
C0736,51,14,40.17
C0737,21,3,214.19
C0738,3,20,816.5
C0739,36,13,30.6
C0740,21,20,340.58
C0741,7,12,684.47
C0742,40,1,589.53
C0743,60,12,293.85
C0744,31,5,349.05
C0745,57,2,906.55
C0746,21,10,469.38
C0747,33,15,715.22
C0748,25,11,124.44
C0749,2,20,366.87
C0750,36,4,316.12
C0751,16,1,647.73
C0752,16,10,175.2
C0753,23,7,336.6
C0754,3,8,773.06
C0755,46,3,606.1
C0756,3,1,993.02
C0757,6,8,603.3
C0758,11,15,569.26
C0759,8,10,627.45
C0760,60,2,27.14
C0761,22,20,956.86
C0762,21,17,54.36
C0763,33,3,188.83
C0764,9,7,559.11
C0765,10,2,656.64
C0766,8,17,227.0
C0767,28,16,854.47
C0768,5,2,103.18
C0769,54,11,752.66
C0770,46,8,250.38
C0771,38,11,434.74
C0772,24,9,239.63
C0773,4,14,988.0
C0774,23,3,865.11
C0775,58,10,431.68
C0776,40,8,318.37
C0777,48,5,996.16
C0778,33,13,37.24
C0779,24,9,948.7
C0780,54,6,544.33
C0781,24,12,710.55
C0782,23,20,130.4
C0783,43,11,674.08
C0784,34,8,928.08
C0785,50,7,855.29
C0786,45,10,337.66
C0787,6,3,458.04
C0788,58,15,23.46
C0789,8,6,463.38
C0790,49,13,838.12
C0791,34,13,414.0
C0792,6,8,807.8
C0793,40,7,421.4
C0794,20,10,531.82
C0795,31,12,216.6
C0796,17,6,746.62
C0797,37,11,909.32
C0798,33,13,466.54
C0799,37,3,74.61
C0800,15,10,361.59
C0801,21,2,411.42
C0802,30,9,740.78
C0803,14,16,80.13
C0804,38,19,946.25
C0805,22,11,795.7
C0806,3,9,211.15
C0807,13,19,17.91
C0808,25,10,564.14
C0809,46,9,717.93
C0810,4,19,670.04
C0811,44,18,421.81
C0812,25,18,60.52
C0813,45,2,889.94
C0814,21,12,426.97
C0815,37,3,574.82
C0816,40,5,265.63
C0817,36,12,668.04
C0818,26,10,278.05
C0819,40,11,227.84
C0820,42,5,682.48
C0821,5,16,44.57
C0822,13,11,888.09
C0823,27,3,99.61
C0824,59,8,754.48
C0825,38,7,359.34
C0826,8,12,969.39
C0827,30,7,365.7
C0828,34,20,355.56
C0829,53,10,367.57
C0830,48,13,18.59
C0831,21,7,53.46
C0832,10,6,635.98
C0833,16,20,375.43
C0834,43,10,182.83
C0835,35,10,941.53
C0836,40,9,577.76
C0837,33,12,664.09
C0838,56,6,736.38
C0839,46,5,893.8
C0840,17,5,629.66
C0841,27,10,114.87
C0842,5,3,303.76
C0843,34,17,759.92
C0844,32,5,655.09
C0845,51,20,629.49
C0846,26,13,906.78
C0847,5,15,111.91
C0848,23,19,459.79
C0849,56,15,86.89
C0850,57,14,519.96
C0851,41,11,349.77
C0852,46,8,665.29
C0853,2,14,321.76
C0854,28,11,546.12
C0855,51,20,575.35
C0856,50,4,695.05
C0857,1,19,947.56
C0858,53,4,65.25
C0859,23,15,291.36
C0860,59,11,108.24
C0861,40,15,504.16
C0862,19,5,916.2
C0863,20,6,72.86
C0864,23,20,455.56
C0865,7,13,312.08
C0866,47,16,708.61
C0867,30,1,461.69
C0868,18,5,554.22
C0869,59,1,334.77
C0870,57,12,175.36
C0871,60,11,453.51
C0872,40,17,118.33
C0873,5,20,215.79
C0874,35,7,277.62
C0875,25,14,347.61
C0876,7,10,189.54
C0877,51,15,503.26
C0878,49,12,988.81
C0879,4,17,149.9
C0880,1,13,123.36
C0881,17,7,746.1
C0882,29,18,926.79
C0883,60,11,300.32
C0884,31,13,387.4
C0885,51,14,613.79
C0886,20,5,730.48
C0887,54,17,837.95
C0888,10,12,126.83
C0889,57,14,475.82
C0890,57,16,669.91
C0891,42,19,16.8
C0892,15,10,365.73
C0893,45,17,491.11
C0894,49,18,842.11
C0895,18,2,76.66
C0896,52,11,739.91
C0897,31,20,326.53
C0898,20,4,864.05
C0899,46,3,875.38
C0900,42,12,629.02
C0901,26,1,979.12
C0902,47,20,689.41
C0903,45,17,205.97
C0904,40,19,690.62
C0905,16,4,35.59
C0906,17,17,474.72
C0907,3,19,66.18
C0908,6,11,844.4
C0909,26,10,657.06
C0910,15,10,310.07
C0911,45,2,75.93
C0912,56,19,965.56
C0913,45,8,143.64
C0914,52,3,690.71
C0915,46,15,658.01
C0916,16,18,960.97
C0917,13,16,797.65
C0918,16,20,555.7
C0919,24,10,757.27
C0920,5,12,114.67
C0921,24,4,694.46
C0922,36,18,121.29
C0923,5,2,39.97
C0924,23,8,517.29
C0925,25,5,145.46
C0926,49,3,811.78
C0927,13,2,383.42
C0928,49,8,120.29
C0929,41,13,171.79
C0930,53,9,986.9
C0931,26,3,932.58
C0932,20,17,221.11
C0933,55,4,202.42
C0934,32,1,616.24
C0935,17,3,699.92
C0936,13,16,100.58
C0937,31,3,989.51
C0938,11,19,984.61
C0939,25,9,795.65
C0940,47,2,629.43
C0941,15,12,784.53
C0942,24,7,300.05
C0943,18,2,831.2
C0944,2,14,413.15
C0945,32,15,492.8
C0946,2,11,468.33
C0947,51,15,442.67
C0948,17,13,45.62
C0949,20,19,931.7
C0950,17,16,663.56
C0951,29,18,689.35
C0952,57,13,663.21
C0953,1,18,32.7
C0954,53,15,644.59
C0955,29,2,220.42
C0956,50,8,662.59
C0957,17,13,243.24
C0958,60,9,129.42
C0959,7,3,896.53
C0960,44,13,969.87
C0961,42,20,661.75
C0962,6,11,869.47
C0963,33,4,91.84
C0964,17,19,507.52
C0965,35,19,117.08
C0966,24,11,281.35
C0967,58,10,497.13
C0968,17,16,531.39
C0969,5,13,127.84
C0970,37,14,79.94
C0971,20,11,991.44
C0972,17,13,110.22
C0973,45,12,755.69
C0974,41,8,553.83
C0975,41,9,10.98
C0976,11,3,961.89
C0977,51,19,304.03
C0978,53,20,224.24
C0979,19,8,526.45
C0980,8,2,398.02
C0981,37,20,723.44
C0982,24,15,587.27
C0983,46,12,326.0
C0984,58,3,392.69
C0985,25,13,116.92
C0986,24,15,789.5
C0987,26,16,721.25
C0988,24,6,493.01
C0989,46,20,956.99
C0990,23,6,400.53
C0991,28,20,934.23
C0992,56,16,120.4
C0993,43,6,344.18
C0994,41,3,273.63
C0995,27,18,198.4
C0996,55,14,573.72
C0997,44,3,325.4
C0998,34,10,56.9
C0999,19,19,744.97
C1000,39,13,850.28
